file,line,symbol,literal,semantic_name,classification,yaml_file,yaml_path,schema_field,consumer,action
app/db/repositories/candle_repository.py,13,UPSERT_BATCH_SIZE,500,UPSERT_BATCH_SIZE,UNKNOWN_REQUIRES_TRACE,,,,app/db/repositories/candle_repository.py:13:assignment,trace behavior authority; no direct YAML reference on this expression
app/db/repositories/feature_repository.py,15,UPSERT_BATCH_SIZE,500,UPSERT_BATCH_SIZE,UNKNOWN_REQUIRES_TRACE,,,,app/db/repositories/feature_repository.py:15:assignment,trace behavior authority; no direct YAML reference on this expression
app/db/repositories/label_repository.py,15,UPSERT_BATCH_SIZE,500,UPSERT_BATCH_SIZE,UNKNOWN_REQUIRES_TRACE,,,,app/db/repositories/label_repository.py:15:assignment,trace behavior authority; no direct YAML reference on this expression
app/db/repositories/prediction_repository.py,22,limit,100,limit,UNKNOWN_REQUIRES_TRACE,,,,app/db/repositories/prediction_repository.py:22:function_default,trace behavior authority; no direct YAML reference on this expression
app/desktop_automation/win32_fallback.py,454,timeout_seconds,2.0,timeout_seconds,UNKNOWN_REQUIRES_TRACE,,,,app/desktop_automation/win32_fallback.py:454:function_default,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/altunina_trend_context.py,20,ALTUNINA_CORRECTION_LIMIT,0.62,ALTUNINA_CORRECTION_LIMIT,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/altunina_trend_context.py:20:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/altunina_trend_context.py,256,lookback,1,lookback,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/altunina_trend_context.py:256:function_default,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/analysis_contract.py,11,MIN_FULL_ANALYSIS_CANDLES,64,MIN_FULL_ANALYSIS_CANDLES,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/analysis_contract.py:11:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/analysis_contract.py,29,atr_lookback_candles,14,atr_lookback_candles,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/analysis_contract.py:29:assignment,trace behavior authority; no direct YAML reference on this expression
app/engine_analysis/analysis_contract.py,31,impulse_absolute_threshold_pct,3.0,impulse_absolute_threshold_pct,UNKNOWN_REQUIRES_TRACE,,,,app/engine_analysis/analysis_contract.py:31:assignment,trace behavior authority; no direct YAML reference on this expression
