file,line,symbol,literal,semantic_name,classification,yaml_file,yaml_path,schema_field,consumer,action
app/__init__.py,1,__version__,'0.2.0',__version__,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/__init__.py:1:assignment,identity/protocol literal; verify consumer contract
app/config/settings.py,25,service_name,'traders-ml',service_name,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/config/settings.py:25:assignment,identity/protocol literal; verify consumer contract
app/config/settings.py,26,service_version,'0.2.0',service_version,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/config/settings.py:26:assignment,identity/protocol literal; verify consumer contract
app/config/settings.py,27,app_env,'dev',app_env,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/config/settings.py:27:assignment,identity/protocol literal; verify consumer contract
app/config/settings.py,46,getenv,'traders-ml',getenv,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/config/settings.py:46:literal_fallback,identity/protocol literal; verify consumer contract
app/config/settings.py,47,getenv,'0.2.0',getenv,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/config/settings.py:47:literal_fallback,identity/protocol literal; verify consumer contract
app/config/settings.py,48,getenv,'dev',getenv,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/config/settings.py:48:literal_fallback,identity/protocol literal; verify consumer contract
app/config/trade_parameters.py,389,deep,False,deep,ALGORITHM_STRUCTURE_LITERAL,,,,app/config/trade_parameters.py:389:function_default,numeric/boolean algorithm structure
app/config/trade_parameters.py,235,SET_2_OVERRIDE,'SET_2_OVERRIDE',SET_2_OVERRIDE,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/config/trade_parameters.py:235:assignment,identity/protocol literal; verify consumer contract
app/config/trade_parameters.py,236,SET_1_INHERITED,'SET_1_INHERITED',SET_1_INHERITED,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/config/trade_parameters.py:236:assignment,identity/protocol literal; verify consumer contract
app/config/trade_parameters.py,237,SET_1_BASELINE,'SET_1_BASELINE',SET_1_BASELINE,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/config/trade_parameters.py:237:assignment,identity/protocol literal; verify consumer contract
app/config/trade_parameters.py,238,NAMED_SET_OVERRIDE,'NAMED_SET_OVERRIDE',NAMED_SET_OVERRIDE,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/config/trade_parameters.py:238:assignment,identity/protocol literal; verify consumer contract
app/config/trade_parameters.py,239,DYNAMIC_BINANCE_COMMISSION,'DYNAMIC_BINANCE_COMMISSION',DYNAMIC_BINANCE_COMMISSION,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/config/trade_parameters.py:239:assignment,identity/protocol literal; verify consumer contract
app/config/trade_parameters.py,240,RUNTIME_DYNAMIC,'RUNTIME_DYNAMIC',RUNTIME_DYNAMIC,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/config/trade_parameters.py:240:assignment,identity/protocol literal; verify consumer contract
app/config/trade_parameters.py,241,SHADOW_POLICY,'SHADOW_POLICY',SHADOW_POLICY,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/config/trade_parameters.py:241:assignment,identity/protocol literal; verify consumer contract
app/config/trade_parameters.py,242,LEGACY_UNAVAILABLE,'LEGACY_UNAVAILABLE',LEGACY_UNAVAILABLE,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/config/trade_parameters.py:242:assignment,identity/protocol literal; verify consumer contract
app/config/trade_parameters.py,248,prefix,'',prefix,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/config/trade_parameters.py:248:function_default,identity/protocol literal; verify consumer contract
app/config/trade_parameters.py,254,get,'scalping-v2-set-1',get,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/config/trade_parameters.py:254:literal_fallback,identity/protocol literal; verify consumer contract
app/config/yaml_authority.py,235,deep,False,deep,ALGORITHM_STRUCTURE_LITERAL,,,,app/config/yaml_authority.py:235:function_default,numeric/boolean algorithm structure
app/db/connection_failure.py,19,INVALID_PASSWORD_SQLSTATE,'28P01',INVALID_PASSWORD_SQLSTATE,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/db/connection_failure.py:19:assignment,identity/protocol literal; verify consumer contract
app/db/connection_failure.py,24,CONNECTED,'CONNECTED',CONNECTED,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/db/connection_failure.py:24:assignment,identity/protocol literal; verify consumer contract
app/db/connection_failure.py,25,AUTHENTICATION_FAILED,'AUTHENTICATION_FAILED',AUTHENTICATION_FAILED,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/db/connection_failure.py:25:assignment,identity/protocol literal; verify consumer contract
app/db/connection_failure.py,26,TIMEOUT,'TIMEOUT',TIMEOUT,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/db/connection_failure.py:26:assignment,identity/protocol literal; verify consumer contract
app/db/connection_failure.py,27,CONNECTION_UNAVAILABLE,'CONNECTION_UNAVAILABLE',CONNECTION_UNAVAILABLE,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/db/connection_failure.py:27:assignment,identity/protocol literal; verify consumer contract
app/db/connection_failure.py,28,CONNECTION_SECURITY_ERROR,'CONNECTION_SECURITY_ERROR',CONNECTION_SECURITY_ERROR,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/db/connection_failure.py:28:assignment,identity/protocol literal; verify consumer contract
app/db/connection_failure.py,29,DATABASE_ERROR,'DATABASE_ERROR',DATABASE_ERROR,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/db/connection_failure.py:29:assignment,identity/protocol literal; verify consumer contract
app/db/connection_failure.py,30,UNKNOWN_CONNECTION_FAILURE,'UNKNOWN_CONNECTION_FAILURE',UNKNOWN_CONNECTION_FAILURE,PROTOCOL_OR_SCHEMA_IDENTITY,,,,app/db/connection_failure.py:30:assignment,identity/protocol literal; verify consumer contract
