window_id,symbol,reference_label,final_regime,confidence,raw_scores_available,clamped_scores_available,ranking_before_clamp_available,ranking_after_clamp_available,score_gap_before_clamp_available,score_gap_after_clamp_available,fallback_reason_available,confidence_path_available,all_window_report_section_present,per_window_json_present,per_window_markdown_present,missing_composer_trace_field_count,behavior_lock_ok,notes
btc_15m_expected_down_001,BTCUSDT,EXPECTED_DOWN,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btc_15m_expected_flat_001,BTCUSDT,EXPECTED_FLAT,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btc_15m_expected_unknown_or_mixed_001,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btc_15m_recent_baseline_001,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btc_15m_expected_up_001,BTCUSDT,EXPECTED_UP,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
eth_15m_expected_down_001,ETHUSDT,EXPECTED_DOWN,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
eth_15m_expected_flat_001,ETHUSDT,EXPECTED_FLAT,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
eth_15m_expected_unknown_or_mixed_001,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
eth_15m_recent_baseline_001,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
eth_15m_expected_up_001,ETHUSDT,EXPECTED_UP,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
sol_15m_expected_down_001,SOLUSDT,EXPECTED_DOWN,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
sol_15m_expected_flat_001,SOLUSDT,EXPECTED_FLAT,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
sol_15m_expected_unknown_or_mixed_001,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
sol_15m_recent_baseline_001,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
sol_15m_expected_up_001,SOLUSDT,EXPECTED_UP,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btcusdt_15m_down_001,BTCUSDT,EXPECTED_DOWN,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btcusdt_15m_down_002,BTCUSDT,EXPECTED_DOWN,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btcusdt_15m_down_003,BTCUSDT,EXPECTED_DOWN,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btcusdt_15m_flat_001,BTCUSDT,EXPECTED_FLAT,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btcusdt_15m_flat_002,BTCUSDT,EXPECTED_FLAT,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btcusdt_15m_flat_003,BTCUSDT,EXPECTED_FLAT,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btcusdt_15m_mixed_001,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btcusdt_15m_mixed_002,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btcusdt_15m_mixed_003,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btcusdt_15m_up_001,BTCUSDT,EXPECTED_UP,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btcusdt_15m_up_002,BTCUSDT,EXPECTED_UP,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btcusdt_15m_up_003,BTCUSDT,EXPECTED_UP,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btcusdt_15m_up_004,BTCUSDT,EXPECTED_UP,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btcusdt_15m_high_volatility_chop_001,BTCUSDT,HIGH_VOLATILITY_CHOP,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
btcusdt_15m_recent_baseline_001,BTCUSDT,RECENT_BASELINE,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
ethusdt_15m_down_001,ETHUSDT,EXPECTED_DOWN,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
ethusdt_15m_down_002,ETHUSDT,EXPECTED_DOWN,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
ethusdt_15m_down_003,ETHUSDT,EXPECTED_DOWN,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
ethusdt_15m_flat_001,ETHUSDT,EXPECTED_FLAT,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
ethusdt_15m_flat_002,ETHUSDT,EXPECTED_FLAT,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
ethusdt_15m_flat_003,ETHUSDT,EXPECTED_FLAT,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
ethusdt_15m_mixed_001,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
ethusdt_15m_mixed_002,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
ethusdt_15m_mixed_003,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
ethusdt_15m_up_001,ETHUSDT,EXPECTED_UP,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
ethusdt_15m_up_002,ETHUSDT,EXPECTED_UP,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
ethusdt_15m_up_003,ETHUSDT,EXPECTED_UP,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
ethusdt_15m_up_004,ETHUSDT,EXPECTED_UP,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
ethusdt_15m_high_volatility_chop_001,ETHUSDT,HIGH_VOLATILITY_CHOP,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
ethusdt_15m_recent_baseline_001,ETHUSDT,RECENT_BASELINE,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
solusdt_15m_down_001,SOLUSDT,EXPECTED_DOWN,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
solusdt_15m_down_002,SOLUSDT,EXPECTED_DOWN,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
solusdt_15m_down_003,SOLUSDT,EXPECTED_DOWN,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
solusdt_15m_flat_001,SOLUSDT,EXPECTED_FLAT,UNKNOWN,0.3,False,True,False,True,False,True,True,False,True,True,True,4,True,Trace-only exposure.
