case_id,bucket,baseline_regime,hypothetical_contract_pass,risk_flags,potential_false_down,missed_trend_only_down,notes
BTCUSDT_15m_2026_07_13_16_00,TREND_ONLY_DOWN_CANDIDATE,UNKNOWN,True,,False,True,DOWN_RECALL_GAP_TREND_ONLY_CONTINUATION_MISSING
SOLUSDT_15m_2026_07_08_06_00,BASELINE_CONFIRMED_DOWN,DOWN,True,,False,False,mandatory seed-case
SOLUSDT_15m_2026_07_08_11_30,POST_DROP_REBOUND_CONTROL,UNKNOWN,True,,True,False,known high-score invalidated DOWN_CONTINUATION
SOLUSDT_15m_2026_07_08_18_30,TRAP_OR_RANGE_CONFLICT_CONTROL,UNKNOWN,False,RANGE_DETECTED|CONFIRMED_RANGE_CONFLICT|WEAK_ADX|WEAK_NEGATIVE_PROGRESS,False,False,DOWN_CONTINUATION vs CONFIRMED_RANGE conflict
SOLUSDT_15m_2026_07_08_23_45,BASELINE_CONFIRMED_FLAT,FLAT,False,RANGE_DETECTED|CONFIRMED_RANGE_CONFLICT|WEAK_NEGATIVE_PROGRESS,False,False,mandatory seed-case
BTCUSDT_15m_2025_01_07_15_45,TREND_ONLY_DOWN_CANDIDATE,DOWN,False,RANGE_DETECTED,False,False,negative 96-candle trend and negative decision-window progress
SOLUSDT_15m_2025_02_06_17_45,TREND_ONLY_DOWN_CANDIDATE,DOWN,True,,False,False,negative 96-candle trend and negative decision-window progress
SOLUSDT_15m_2025_03_10_17_45,TREND_ONLY_DOWN_CANDIDATE,DOWN,True,RANGE_DETECTED,False,False,negative 96-candle trend and negative decision-window progress
SOLUSDT_15m_2025_04_30_13_45,TREND_ONLY_DOWN_CANDIDATE,DOWN,False,,False,False,negative 96-candle trend and negative decision-window progress
ETHUSDT_15m_2025_07_01_21_45,TREND_ONLY_DOWN_CANDIDATE,UNKNOWN,True,RANGE_DETECTED,False,True,negative 96-candle trend and negative decision-window progress
ETHUSDT_15m_2025_08_30_01_45,TREND_ONLY_DOWN_CANDIDATE,UNKNOWN,False,RANGE_DETECTED|CONFIRMED_RANGE_CONFLICT|TRAP_CONFLICT,False,False,negative 96-candle trend and negative decision-window progress
BTCUSDT_15m_2025_10_29_13_45,TREND_ONLY_DOWN_CANDIDATE,FLAT,False,RANGE_DETECTED|CONFIRMED_RANGE_CONFLICT|WEAK_NEGATIVE_PROGRESS,False,False,negative 96-candle trend and negative decision-window progress
BTCUSDT_15m_2025_12_01_15_45,TREND_ONLY_DOWN_CANDIDATE,DOWN,True,RANGE_DETECTED,False,False,negative 96-candle trend and negative decision-window progress
ETHUSDT_15m_2026_02_01_09_45,TREND_ONLY_DOWN_CANDIDATE,UNKNOWN,False,,False,False,negative 96-candle trend and negative decision-window progress
BTCUSDT_15m_2026_02_28_07_45,TREND_ONLY_DOWN_CANDIDATE,DOWN,True,RANGE_DETECTED,False,False,negative 96-candle trend and negative decision-window progress
SOLUSDT_15m_2026_04_23_17_45,TREND_ONLY_DOWN_CANDIDATE,UNKNOWN,True,RANGE_DETECTED,False,True,negative 96-candle trend and negative decision-window progress
BTCUSDT_15m_2025_01_01_23_45,RANGE_BEARISH_PRESSURE_CONTROL,FLAT,False,RANGE_DETECTED|CONFIRMED_RANGE_CONFLICT|WEAK_NEGATIVE_PROGRESS,False,False,bounded return/range with price below SMA20
SOLUSDT_15m_2025_03_09_11_45,RANGE_BEARISH_PRESSURE_CONTROL,DOWN,False,RANGE_DETECTED,False,False,bounded return/range with price below SMA20
SOLUSDT_15m_2025_04_27_11_45,RANGE_BEARISH_PRESSURE_CONTROL,UNKNOWN,False,WEAK_NEGATIVE_PROGRESS,False,False,bounded return/range with price below SMA20
ETHUSDT_15m_2025_06_08_03_45,RANGE_BEARISH_PRESSURE_CONTROL,DOWN,False,RANGE_DETECTED|WEAK_NEGATIVE_PROGRESS,False,False,bounded return/range with price below SMA20
BTCUSDT_15m_2025_07_14_23_45,RANGE_BEARISH_PRESSURE_CONTROL,UNKNOWN,False,WEAK_ADX|WEAK_NEGATIVE_PROGRESS,False,False,bounded return/range with price below SMA20
BTCUSDT_15m_2025_08_28_21_45,RANGE_BEARISH_PRESSURE_CONTROL,UNKNOWN,True,RANGE_DETECTED,True,False,bounded return/range with price below SMA20
ETHUSDT_15m_2025_09_30_09_45,RANGE_BEARISH_PRESSURE_CONTROL,DOWN,False,WEAK_ADX,False,False,bounded return/range with price below SMA20
ETHUSDT_15m_2025_11_28_11_45,RANGE_BEARISH_PRESSURE_CONTROL,UNKNOWN,False,RANGE_DETECTED|WEAK_NEGATIVE_PROGRESS,False,False,bounded return/range with price below SMA20
ETHUSDT_15m_2026_01_01_03_45,RANGE_BEARISH_PRESSURE_CONTROL,FLAT,False,RANGE_DETECTED|CONFIRMED_RANGE_CONFLICT|WEAK_NEGATIVE_PROGRESS,False,False,bounded return/range with price below SMA20
BTCUSDT_15m_2026_02_15_09_45,RANGE_BEARISH_PRESSURE_CONTROL,UNKNOWN,False,RANGE_DETECTED|WEAK_NEGATIVE_PROGRESS,False,False,bounded return/range with price below SMA20
ETHUSDT_15m_2026_04_10_03_45,RANGE_BEARISH_PRESSURE_CONTROL,DOWN,False,,False,False,bounded return/range with price below SMA20
BTCUSDT_15m_2026_05_12_09_45,RANGE_BEARISH_PRESSURE_CONTROL,UNKNOWN,False,WEAK_NEGATIVE_PROGRESS,False,False,bounded return/range with price below SMA20
SOLUSDT_15m_2025_01_02_03_45,POST_DROP_REBOUND_CONTROL,UP,False,RANGE_DETECTED|WEAK_NEGATIVE_PROGRESS,False,False,material prior drop followed by rebound/exhaustion control
ETHUSDT_15m_2025_02_28_23_45,POST_DROP_REBOUND_CONTROL,UNKNOWN,False,RANGE_DETECTED|WEAK_ADX|WEAK_NEGATIVE_PROGRESS,False,False,material prior drop followed by rebound/exhaustion control
ETHUSDT_15m_2025_04_26_01_45,POST_DROP_REBOUND_CONTROL,UP,False,RANGE_DETECTED|WEAK_ADX|WEAK_NEGATIVE_PROGRESS,False,False,material prior drop followed by rebound/exhaustion control
SOLUSDT_15m_2025_07_08_13_45,POST_DROP_REBOUND_CONTROL,UP,False,RANGE_DETECTED|WEAK_NEGATIVE_PROGRESS,False,False,material prior drop followed by rebound/exhaustion control
ETHUSDT_15m_2025_09_26_01_45,POST_DROP_REBOUND_CONTROL,UP,False,WEAK_ADX|WEAK_NEGATIVE_PROGRESS,False,False,material prior drop followed by rebound/exhaustion control
SOLUSDT_15m_2025_12_02_01_45,POST_DROP_REBOUND_CONTROL,UP,False,WEAK_NEGATIVE_PROGRESS,False,False,material prior drop followed by rebound/exhaustion control
SOLUSDT_15m_2026_02_27_07_45,POST_DROP_REBOUND_CONTROL,UP,False,WEAK_NEGATIVE_PROGRESS,False,False,material prior drop followed by rebound/exhaustion control
SOLUSDT_15m_2025_01_05_19_45,TRAP_OR_RANGE_CONFLICT_CONTROL,FLAT,False,RANGE_DETECTED|CONFIRMED_RANGE_CONFLICT|WEAK_ADX|WEAK_NEGATIVE_PROGRESS,False,False,wide two-sided window with bearish close position
ETHUSDT_15m_2025_03_12_03_45,TRAP_OR_RANGE_CONFLICT_CONTROL,DOWN,True,RANGE_DETECTED,True,False,wide two-sided window with bearish close position
SOLUSDT_15m_2025_05_23_11_45,TRAP_OR_RANGE_CONFLICT_CONTROL,UP,False,RANGE_DETECTED,False,False,wide two-sided window with bearish close position
SOLUSDT_15m_2025_08_15_21_45,TRAP_OR_RANGE_CONFLICT_CONTROL,UNKNOWN,False,WEAK_NEGATIVE_PROGRESS,False,False,wide two-sided window with bearish close position
SOLUSDT_15m_2025_11_07_09_45,TRAP_OR_RANGE_CONFLICT_CONTROL,FLAT,False,RANGE_DETECTED|CONFIRMED_RANGE_CONFLICT,False,False,wide two-sided window with bearish close position
SOLUSDT_15m_2026_01_14_11_45,TRAP_OR_RANGE_CONFLICT_CONTROL,UNKNOWN,False,WEAK_NEGATIVE_PROGRESS,False,False,wide two-sided window with bearish close position
BTCUSDT_15m_2026_03_14_07_45,TRAP_OR_RANGE_CONFLICT_CONTROL,UNKNOWN,False,WEAK_NEGATIVE_PROGRESS,False,False,wide two-sided window with bearish close position
ETHUSDT_15m_2025_01_01_23_45,OTHER,UP,False,RANGE_DETECTED|WEAK_NEGATIVE_PROGRESS,False,False,deterministic rolling-window diversity sample
ETHUSDT_15m_2025_03_03_07_45,OTHER,DOWN,False,,False,False,deterministic rolling-window diversity sample
SOLUSDT_15m_2025_05_02_03_45,OTHER,FLAT,False,RANGE_DETECTED|CONFIRMED_RANGE_CONFLICT|WEAK_NEGATIVE_PROGRESS,False,False,deterministic rolling-window diversity sample
ETHUSDT_15m_2025_06_26_01_45,OTHER,UP,False,RANGE_DETECTED|WEAK_NEGATIVE_PROGRESS,False,False,deterministic rolling-window diversity sample
ETHUSDT_15m_2025_08_14_05_45,OTHER,DOWN,False,WEAK_NEGATIVE_PROGRESS,False,False,deterministic rolling-window diversity sample
ETHUSDT_15m_2025_10_02_09_45,OTHER,UP,False,RANGE_DETECTED|WEAK_ADX|WEAK_NEGATIVE_PROGRESS,False,False,deterministic rolling-window diversity sample
BTCUSDT_15m_2025_11_28_09_45,OTHER,FLAT,False,RANGE_DETECTED|CONFIRMED_RANGE_CONFLICT|WEAK_ADX|WEAK_NEGATIVE_PROGRESS,False,False,deterministic rolling-window diversity sample
BTCUSDT_15m_2026_01_12_03_45,OTHER,UP,False,RANGE_DETECTED|WEAK_NEGATIVE_PROGRESS,False,False,deterministic rolling-window diversity sample
BTCUSDT_15m_2026_03_15_19_45,OTHER,UNKNOWN,False,RANGE_DETECTED|CONFIRMED_RANGE_CONFLICT|WEAK_NEGATIVE_PROGRESS,False,False,deterministic rolling-window diversity sample
BTCUSDT_15m_2026_04_29_03_45,OTHER,UP,False,RANGE_DETECTED|WEAK_NEGATIVE_PROGRESS,False,False,deterministic rolling-window diversity sample
