case_id,symbol,timeframe,actual_start,actual_end,candles,bucket,source,data_quality,baseline_regime,selected_hypothesis,confidence,safety_violation,short_reason
BTCUSDT_15m_2026_07_13_16_00,BTCUSDT,15m,2026-07-12T16:15:00Z,2026-07-13T16:00:00Z,96,TREND_ONLY_DOWN_CANDIDATE,DB_ONLY,PASS,UNKNOWN,,0.25,False,"COMPOSER_CONSERVATIVE_FALLBACK_UNKNOWN, COMPOSER_UNKNOWN_REGIME_SELECTED, COMPOSER_NO_TRADING_ACTION"
SOLUSDT_15m_2026_07_08_06_00,SOLUSDT,15m,2026-07-07T06:15:00Z,2026-07-08T06:00:00Z,96,BASELINE_CONFIRMED_DOWN,DB_ONLY,PASS,DOWN,DOWN_CONTINUATION,0.8532296057430224,False,"COMPOSER_DOMINANT_DOWN_CONTINUATION, COMPOSER_DOWN_REGIME_SELECTED, COMPOSER_NO_TRADING_ACTION"
SOLUSDT_15m_2026_07_08_11_30,SOLUSDT,15m,2026-07-07T11:45:00Z,2026-07-08T11:30:00Z,96,POST_DROP_REBOUND_CONTROL,DB_ONLY,PASS,UNKNOWN,,0.25,False,"COMPOSER_CONSERVATIVE_FALLBACK_UNKNOWN, COMPOSER_UNKNOWN_REGIME_SELECTED, COMPOSER_NO_TRADING_ACTION"
SOLUSDT_15m_2026_07_08_18_30,SOLUSDT,15m,2026-07-07T18:45:00Z,2026-07-08T18:30:00Z,96,TRAP_OR_RANGE_CONFLICT_CONTROL,DB_ONLY,PASS,UNKNOWN,,0.35,False,"COMPOSER_UNRESOLVED_CONFIRMED_HYPOTHESIS_CONFLICT, COMPOSER_UNKNOWN_REGIME_SELECTED, COMPOSER_NO_TRADING_ACTION"
SOLUSDT_15m_2026_07_08_23_45,SOLUSDT,15m,2026-07-08T00:00:00Z,2026-07-08T23:45:00Z,96,BASELINE_CONFIRMED_FLAT,DB_ONLY,PASS,FLAT,CONFIRMED_RANGE,0.6897435897435897,False,"COMPOSER_DOMINANT_CONFIRMED_RANGE, COMPOSER_FLAT_REGIME_SELECTED, COMPOSER_NO_TRADING_ACTION"
BTCUSDT_15m_2025_01_07_15_45,BTCUSDT,15m,2025-01-06T16:00:00Z,2025-01-07T15:45:00Z,96,TREND_ONLY_DOWN_CANDIDATE,DB_ONLY,PASS,DOWN,DOWN_CONTINUATION,0.5666666666666667,False,"COMPOSER_DOMINANT_DOWN_CONTINUATION, COMPOSER_DOWN_REGIME_SELECTED, COMPOSER_NO_TRADING_ACTION"
SOLUSDT_15m_2025_02_06_17_45,SOLUSDT,15m,2025-02-05T18:00:00Z,2025-02-06T17:45:00Z,96,TREND_ONLY_DOWN_CANDIDATE,DB_ONLY,PASS,DOWN,DOWN_CONTINUATION,0.3666666666666667,False,"COMPOSER_DOMINANT_DOWN_CONTINUATION, COMPOSER_DOWN_REGIME_SELECTED, COMPOSER_NO_TRADING_ACTION"
SOLUSDT_15m_2025_03_10_17_45,SOLUSDT,15m,2025-03-09T18:00:00Z,2025-03-10T17:45:00Z,96,TREND_ONLY_DOWN_CANDIDATE,DB_ONLY,PASS,DOWN,DOWN_CONTINUATION,0.3666666666666667,False,"COMPOSER_DOMINANT_DOWN_CONTINUATION, COMPOSER_DOWN_REGIME_SELECTED, COMPOSER_NO_TRADING_ACTION"
SOLUSDT_15m_2025_04_30_13_45,SOLUSDT,15m,2025-04-29T14:00:00Z,2025-04-30T13:45:00Z,96,TREND_ONLY_DOWN_CANDIDATE,DB_ONLY,PASS,DOWN,DOWN_CONTINUATION,0.3666666666666667,False,"COMPOSER_DOMINANT_DOWN_CONTINUATION, COMPOSER_DOWN_REGIME_SELECTED, COMPOSER_NO_TRADING_ACTION"
ETHUSDT_15m_2025_07_01_21_45,ETHUSDT,15m,2025-06-30T22:00:00Z,2025-07-01T21:45:00Z,96,TREND_ONLY_DOWN_CANDIDATE,DB_ONLY,PASS,UNKNOWN,,0.25,False,"COMPOSER_CONSERVATIVE_FALLBACK_UNKNOWN, COMPOSER_UNKNOWN_REGIME_SELECTED, COMPOSER_NO_TRADING_ACTION"
