failure_bucket,count,average_net_return_pct,setup_type_distribution,examples,definition
TOO_TIGHT_STOP,64,-0.5219673487313192,"{""LONG_UP_CONTINUATION_RETEST"": 25, ""RANGE_MEAN_REVERSION_CANDIDATE"": 12, ""SHORT_DOWN_CONTINUATION_RETEST"": 27}",ET-HED-0001;ET-HED-0002;ET-HED-0003;ET-HED-0006;ET-HED-0007,non-winner; stop <=0.75 ATR and SL within 3 bars
TARGET_TOO_FAR,2,1.290933163796172,"{""SHORT_DOWN_CONTINUATION_RETEST"": 2}",ET-HED-0024;ET-HED-0117,non-winner; target >=4 ATR
LATE_ENTRY_AFTER_EXHAUSTION,57,-0.7011542538580378,"{""LONG_UP_CONTINUATION_RETEST"": 30, ""SHORT_DOWN_CONTINUATION_RETEST"": 27}",ET-HED-0004;ET-HED-0005;ET-HED-0018;ET-HED-0022;ET-HED-0033,non-winner continuation; correction age >=7 bars
WEAK_CONFIRMATION_VOLUME,90,-0.6227527758832611,"{""LONG_UP_CONTINUATION_RETEST"": 31, ""RANGE_MEAN_REVERSION_CANDIDATE"": 13, ""SHORT_DOWN_CONTINUATION_RETEST"": 46}",ET-HED-0011;ET-HED-0016;ET-HED-0027;ET-HED-0034;ET-HED-0039,non-winner; confirmation volume ratio <0.70
BOLLINGER_EXTENSION_RISK,2,-1.0997467812433264,"{""LONG_UP_CONTINUATION_RETEST"": 1, ""SHORT_DOWN_CONTINUATION_RETEST"": 1}",ET-HED-0151;ET-HED-0335,non-winner; entry within 0.25 ATR of directional outer band
RANGE_CONFLICT_IGNORED,12,-0.7199710647659584,"{""RANGE_MEAN_REVERSION_CANDIDATE"": 12}",ET-HED-0032;ET-HED-0077;ET-HED-0150;ET-HED-0188;ET-HED-0197,non-winner range setup; ADX >=25
REVERSAL_RISK_IGNORED,0,,{},,"non-winner; directional RSI extreme (long >=65, short <=35)"
CHOPPY_SIDEWAYS_CONTEXT,22,-0.663062328930644,"{""LONG_UP_CONTINUATION_RETEST"": 10, ""SHORT_DOWN_CONTINUATION_RETEST"": 12}",ET-HED-0042;ET-HED-0068;ET-HED-0138;ET-HED-0141;ET-HED-0159,non-winner continuation; ADX <20
TREND_TOO_OLD,4,0.40125549449343867,"{""LONG_UP_CONTINUATION_RETEST"": 1, ""SHORT_DOWN_CONTINUATION_RETEST"": 3}",ET-HED-0019;ET-HED-0069;ET-HED-0106;ET-HED-0270,non-winner continuation; correction age >=6 bars
RETEST_TOO_SHALLOW,7,-0.7132902449131621,"{""LONG_UP_CONTINUATION_RETEST"": 5, ""SHORT_DOWN_CONTINUATION_RETEST"": 2}",ET-HED-0021;ET-HED-0045;ET-HED-0070;ET-HED-0083;ET-HED-0087,non-winner continuation; level distance <0.10 ATR
RETEST_TOO_DEEP,3,-0.7560093126000315,"{""SHORT_DOWN_CONTINUATION_RETEST"": 3}",ET-HED-0012;ET-HED-0275;ET-HED-0375,non-winner continuation; level distance >0.50 ATR
LOW_RR_DESPITE_PASS,21,-0.6170404618935406,"{""LONG_UP_CONTINUATION_RETEST"": 5, ""RANGE_MEAN_REVERSION_CANDIDATE"": 13, ""SHORT_DOWN_CONTINUATION_RETEST"": 3}",ET-HED-0048;ET-HED-0086;ET-HED-0097;ET-HED-0131;ET-HED-0149,non-winner; 1.5 <= RR <2
HIGH_RR_LOW_PROBABILITY,0,,{},,non-winner; RR >=5
OTHER,22,-0.6538859011659044,"{""LONG_UP_CONTINUATION_RETEST"": 5, ""RANGE_MEAN_REVERSION_CANDIDATE"": 9, ""SHORT_DOWN_CONTINUATION_RETEST"": 8}",ET-HED-0010;ET-HED-0013;ET-HED-0035;ET-HED-0054;ET-HED-0073,no earlier deterministic diagnostic rule matched
