section,key,count,detail
FILTER_SUMMARY,TRAIN_DESIGN_PASS,88,"n=88, clean=87, winrate=28.7356%, avg/expectancy=-0.1859%, PF=0.5975, max loss streak=15, naive max DD=22.8475%"
FILTER_SUMMARY,VALIDATION_PASS,37,"n=37, clean=37, winrate=45.9459%, avg/expectancy=-0.0376%, PF=0.9088, max loss streak=6, naive max DD=7.2965%"
FILTER_SUMMARY,FULL_PASS,125,"n=125, clean=124, winrate=33.8710%, avg/expectancy=-0.1420%, PF=0.6824, max loss streak=15, naive max DD=26.8684%"
FAIL_REASON,WEAK_CONFIRMATION_VOLUME,259,non-exclusive count
FAIL_REASON,TOO_TIGHT_STOP,122,non-exclusive count
FAIL_REASON,SCORE_V2_BELOW_PROVISIONAL_FLOOR,111,non-exclusive count
FAIL_REASON,ENTRY_AFTER_EXHAUSTION,98,non-exclusive count
FAIL_REASON,CHOPPY_SIDEWAYS_CONTEXT,28,non-exclusive count
FAIL_REASON,HIGH_RR_LOW_PROBABILITY,4,non-exclusive count
FAIL_REASON,TARGET_TOO_FAR_WITHOUT_SWING_ANCHOR,2,non-exclusive count
FAIL_REASON,OPPOSING_REVERSAL_TRAP_CONFLICT,1,non-exclusive count
FAIL_REASON,CONFIRMED_RANGE_CONFLICT,1,non-exclusive count
SCORE_PENALTY,WEAK_CONFIRMATION_VOLUME,297,causal pre-entry penalty count
SCORE_PENALTY,TOO_TIGHT_STOP,122,causal pre-entry penalty count
SCORE_PENALTY,LATE_ENTRY_AFTER_EXHAUSTION,98,causal pre-entry penalty count
SCORE_PENALTY,TREND_TOO_OLD,98,causal pre-entry penalty count
SCORE_PENALTY,CHOPPY_SIDEWAYS_CONTEXT,28,causal pre-entry penalty count
SCORE_PENALTY,TARGET_TOO_FAR,6,causal pre-entry penalty count
SCORE_PENALTY,HIGH_RR_LOW_PROBABILITY,4,causal pre-entry penalty count
SCORE_PENALTY,BOLLINGER_EXTENSION_RISK,3,causal pre-entry penalty count
SCORE_PENALTY,REVERSAL_RISK_IGNORED,1,causal pre-entry penalty count
SCORE_PENALTY,RANGE_CONFLICT_IGNORED,1,causal pre-entry penalty count
