candidate_id,symbol,setup_type,direction,entry_time,old_score,score_v2,filter_pass,fail_reasons,old_outcome,net_return_pct,split,short_reason
ET-HED-0001,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-12-01T13:30:00Z,85.1778,54.8,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME,SL_BEFORE_TP,-0.4977379872781864,OUT_OF_TIME_VALIDATION,TOO_TIGHT_STOP; WEAK_CONFIRMATION_VOLUME
ET-HED-0002,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-10-30T07:00:00Z,83.9125,0.0,FAIL,TOO_TIGHT_STOP|TARGET_TOO_FAR_WITHOUT_SWING_ANCHOR|WEAK_CONFIRMATION_VOLUME|ENTRY_AFTER_EXHAUSTION|HIGH_RR_LOW_PROBABILITY|SCORE_V2_BELOW_PROVISIONAL_FLOOR,SL_BEFORE_TP,-0.4877050544827907,TRAIN_DESIGN,TOO_TIGHT_STOP; TARGET_TOO_FAR; LATE_ENTRY_AFTER_EXHAUSTION
ET-HED-0003,SOLUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-11-15T18:45:00Z,83.5967,58.5,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME,SL_BEFORE_TP,-0.5769684627242095,OUT_OF_TIME_VALIDATION,TOO_TIGHT_STOP; WEAK_CONFIRMATION_VOLUME
ET-HED-0004,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-07-12T00:15:00Z,83.3357,38.2,FAIL,WEAK_CONFIRMATION_VOLUME|ENTRY_AFTER_EXHAUSTION|SCORE_V2_BELOW_PROVISIONAL_FLOOR,SL_BEFORE_TP,-0.725623535918394,TRAIN_DESIGN,LATE_ENTRY_AFTER_EXHAUSTION; TREND_TOO_OLD; WEAK_CONFIRMATION_VOLUME
ET-HED-0005,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-07-30T21:15:00Z,83.3101,25.25,FAIL,WEAK_CONFIRMATION_VOLUME|OPPOSING_REVERSAL_TRAP_CONFLICT|ENTRY_AFTER_EXHAUSTION|SCORE_V2_BELOW_PROVISIONAL_FLOOR,SL_BEFORE_TP,-0.4756485530243452,TRAIN_DESIGN,LATE_ENTRY_AFTER_EXHAUSTION; TREND_TOO_OLD; WEAK_CONFIRMATION_VOLUME
ET-HED-0006,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-10-10T23:15:00Z,83.194,0.0,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME|ENTRY_AFTER_EXHAUSTION|HIGH_RR_LOW_PROBABILITY|SCORE_V2_BELOW_PROVISIONAL_FLOOR,SL_BEFORE_TP,-1.4326877998680072,TRAIN_DESIGN,TOO_TIGHT_STOP; TARGET_TOO_FAR; LATE_ENTRY_AFTER_EXHAUSTION
ET-HED-0007,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-10-16T11:00:00Z,83.1595,0.0,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME|CONFIRMED_RANGE_CONFLICT|CHOPPY_SIDEWAYS_CONTEXT|HIGH_RR_LOW_PROBABILITY|SCORE_V2_BELOW_PROVISIONAL_FLOOR,SL_BEFORE_TP,-0.8368143192847963,TRAIN_DESIGN,TOO_TIGHT_STOP; TARGET_TOO_FAR; WEAK_CONFIRMATION_VOLUME
ET-HED-0008,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-10-22T02:30:00Z,83.1316,32.05,FAIL,TOO_TIGHT_STOP|ENTRY_AFTER_EXHAUSTION|SCORE_V2_BELOW_PROVISIONAL_FLOOR,TP_BEFORE_SL,1.2841456762393832,TRAIN_DESIGN,TOO_TIGHT_STOP; LATE_ENTRY_AFTER_EXHAUSTION; TREND_TOO_OLD
ET-HED-0009,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-10-14T11:45:00Z,83.0534,87.1,PASS,,TP_BEFORE_SL,0.946110791997719,TRAIN_DESIGN,causal geometry passed without v2 penalty
ET-HED-0010,BTCUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-08-31T05:00:00Z,83.042,78.7,PASS,,SL_BEFORE_TP,-0.3976646298459763,TRAIN_DESIGN,causal geometry passed without v2 penalty
ET-HED-0011,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-11-02T17:15:00Z,82.9454,55.2,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME,SL_BEFORE_TP,-0.5676845761147001,OUT_OF_TIME_VALIDATION,TOO_TIGHT_STOP; WEAK_CONFIRMATION_VOLUME
ET-HED-0012,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-07-20T23:00:00Z,82.8117,60.2,FAIL,TOO_TIGHT_STOP,SL_BEFORE_TP,-0.4323355589503739,TRAIN_DESIGN,TOO_TIGHT_STOP
ET-HED-0013,SOLUSDT,RANGE_MEAN_REVERSION_CANDIDATE,SHORT,2025-12-02T11:15:00Z,82.7793,74.05,PASS,,SL_BEFORE_TP,-0.6552962838629051,OUT_OF_TIME_VALIDATION,causal geometry passed without v2 penalty
ET-HED-0014,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-07-18T17:45:00Z,82.6846,31.15,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME|ENTRY_AFTER_EXHAUSTION|SCORE_V2_BELOW_PROVISIONAL_FLOOR,TP_BEFORE_SL,1.7937273796851338,TRAIN_DESIGN,TOO_TIGHT_STOP; LATE_ENTRY_AFTER_EXHAUSTION; TREND_TOO_OLD
ET-HED-0015,ETHUSDT,LONG_UP_CONTINUATION_RETEST,LONG,2025-07-27T06:45:00Z,82.6576,50.85,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME|SCORE_V2_BELOW_PROVISIONAL_FLOOR,SL_BEFORE_TP,-0.430130595776553,TRAIN_DESIGN,TOO_TIGHT_STOP; WEAK_CONFIRMATION_VOLUME
ET-HED-0016,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-10-29T19:30:00Z,82.4918,80.3,FAIL,WEAK_CONFIRMATION_VOLUME,SL_BEFORE_TP,-1.1104189200329677,TRAIN_DESIGN,WEAK_CONFIRMATION_VOLUME
ET-HED-0017,ETHUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-12-14T13:00:00Z,82.4736,67.9,PASS,,TP_BEFORE_SL,1.3262215107760347,OUT_OF_TIME_VALIDATION,TARGET_TOO_FAR
ET-HED-0018,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-10-28T23:15:00Z,82.3743,51.6,FAIL,WEAK_CONFIRMATION_VOLUME|ENTRY_AFTER_EXHAUSTION|SCORE_V2_BELOW_PROVISIONAL_FLOOR,SL_BEFORE_TP,-0.8537656538085203,TRAIN_DESIGN,LATE_ENTRY_AFTER_EXHAUSTION; TREND_TOO_OLD; WEAK_CONFIRMATION_VOLUME
ET-HED-0019,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,SHORT,2025-08-14T14:45:00Z,82.3721,86.2,PASS,,NEITHER_EXPIRED,3.5334888221215035,TRAIN_DESIGN,causal geometry passed without v2 penalty
ET-HED-0020,SOLUSDT,RANGE_MEAN_REVERSION_CANDIDATE,SHORT,2025-11-17T05:15:00Z,82.3473,46.05,FAIL,TOO_TIGHT_STOP|WEAK_CONFIRMATION_VOLUME|SCORE_V2_BELOW_PROVISIONAL_FLOOR,SL_BEFORE_TP,-0.6252823684773992,OUT_OF_TIME_VALIDATION,TOO_TIGHT_STOP; WEAK_CONFIRMATION_VOLUME
