candidate_id,symbol,setup_type,split,stage,stage_trace,entry_mode,stop_mode,target_mode,entry,stop,target,rr,stop_atr,target_atr,entry_age,label,net_return_pct,failures,warnings
ET-HED-0001,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,OUT_OF_TIME_VALIDATION,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0002,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,DOWN_REGIME_NOT_CONFIRMED|DOWN_CONTINUATION_NOT_CONFIRMED|BULLISH_REVERSAL_CONFIRMED|VOLUME_BELOW_0_7,
ET-HED-0003,SOLUSDT,LONG_UP_CONTINUATION_RETEST,OUT_OF_TIME_VALIDATION,BLOCKED_CONTRACT,,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,CONTRACT_NOT_ALLOWED_FOR_REDESIGN,
ET-HED-0004,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,DOWN_REGIME_NOT_CONFIRMED|DOWN_CONTINUATION_NOT_CONFIRMED|BULLISH_REVERSAL_CONFIRMED|VOLUME_BELOW_0_7,
ET-HED-0005,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,DOWN_CONTINUATION_NOT_CONFIRMED|UNRESOLVED_RANGE_TRAP_CONFLICT|VOLUME_BELOW_0_7,
ET-HED-0006,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,DOWN_REGIME_NOT_CONFIRMED|DOWN_CONTINUATION_NOT_CONFIRMED|UNRESOLVED_RANGE_TRAP_CONFLICT|VOLUME_BELOW_0_7,
ET-HED-0007,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,DOWN_REGIME_NOT_CONFIRMED|DOWN_CONTINUATION_NOT_CONFIRMED|BULLISH_REVERSAL_CONFIRMED|VOLUME_BELOW_0_7,
ET-HED-0008,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,186.78,187.64027367909995,185.29,1.7320069603418609,0.6781865598825038,1.1746238421267987,1,NO_TRADE,,STOP_DISTANCE_ATR_BELOW_0_75,VOLUME_0_7_TO_0_9
ET-HED-0009,BTCUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,TRADE_CANDIDATE,SETUP_READY|ENTRY_ARMED|TRADE_CANDIDATE,break_confirmation_low,atr_0_15,nearest_support,111293.41,111697.10578007872,110012.24,3.17360265631256,0.9061527892450578,2.875768898973151,1,TP_BEFORE_SL,0.9111642962507829,,VOLUME_0_7_TO_0_9|RR_ABOVE_PREFERRED_3
ET-HED-0010,BTCUSDT,LONG_UP_CONTINUATION_RETEST,TRAIN_DESIGN,BLOCKED_CONTRACT,,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,CONTRACT_NOT_ALLOWED_FOR_REDESIGN,
