candidate_id,symbol,setup_type,split,stage,stage_trace,entry_mode,stop_mode,target_mode,entry,stop,target,rr,stop_atr,target_atr,entry_age,label,net_return_pct,failures,warnings
ET-HED-0004,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,DOWN_REGIME_NOT_CONFIRMED|DOWN_CONTINUATION_NOT_CONFIRMED|BULLISH_REVERSAL_CONFIRMED|VOLUME_BELOW_0_7,
ET-HED-0007,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,DOWN_REGIME_NOT_CONFIRMED|DOWN_CONTINUATION_NOT_CONFIRMED|BULLISH_REVERSAL_CONFIRMED|VOLUME_BELOW_0_7,
ET-HED-0008,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,186.78,187.64027367909995,185.29,1.7320069603418609,0.6781865598825038,1.1746238421267987,1,NO_TRADE,,STOP_DISTANCE_ATR_BELOW_0_75,VOLUME_0_7_TO_0_9
ET-HED-0011,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,OUT_OF_TIME_VALIDATION,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0014,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0016,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0018,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0019,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,196.33,199.40693031507894,194.15,0.7084983333280618,1.010087385386337,0.7156452290619194,1,NO_TRADE,,NO_ROOM_TO_TARGET_RR_BELOW_1_5,
ET-HED-0022,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,OUT_OF_TIME_VALIDATION,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0025,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,BEARISH_FAILED_RECLAIM_NOT_CONFIRMED,VOLUME_0_7_TO_0_9
ET-HED-0027,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0028,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0034,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0044,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,OUT_OF_TIME_VALIDATION,TRADE_CANDIDATE,SETUP_READY|ENTRY_ARMED|TRADE_CANDIDATE,break_confirmation_low,atr_0_15,nearest_support,128.14,129.69065349713924,122.2,3.8306430230599493,0.966526675638984,3.7024186666378007,1,TP_BEFORE_SL,4.395554861869817,,TARGET_DISTANCE_ATR_ABOVE_3_0|RR_ABOVE_PREFERRED_3
ET-HED-0047,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0057,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0059,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0062,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0068,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,OUT_OF_TIME_VALIDATION,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,154.33,155.96758329020162,154.2,0.07938527510501128,1.3094849400829864,0.10395382221435709,1,NO_TRADE,,NO_ROOM_TO_TARGET_RR_BELOW_1_5,
ET-HED-0069,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,181.76,182.89295315665785,181.42,0.3001006687716738,0.762236229556833,0.22874760225200466,1,NO_TRADE,,NO_ROOM_TO_TARGET_RR_BELOW_1_5,VOLUME_0_7_TO_0_9
ET-HED-0072,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,OUT_OF_TIME_VALIDATION,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0078,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0079,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0091,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0093,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,OUT_OF_TIME_VALIDATION,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,BEARISH_FAILED_RECLAIM_NOT_CONFIRMED|VOLUME_BELOW_0_7,
ET-HED-0115,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,OUT_OF_TIME_VALIDATION,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0126,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,,NO_TRADE,,VOLUME_BELOW_0_7,
ET-HED-0143,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,192.95,194.71403376954265,193.12,,,,1,NO_TRADE,,INVALID_TRADE_GEOMETRY,VOLUME_0_7_TO_0_9
ET-HED-0151,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,OUT_OF_TIME_VALIDATION,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,,,,,,,3,NO_TRADE,,CLOSE_ABOVE_RETEST_HIGH,
ET-HED-0161,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,215.86,218.03868519971118,214.5,0.624229696048016,1.49439825094831,0.9328477659641504,1,NO_TRADE,,NO_ROOM_TO_TARGET_RR_BELOW_1_5,
ET-HED-0162,SOLUSDT,SHORT_DOWN_CONTINUATION_RETEST,TRAIN_DESIGN,NO_TRADE,SETUP_READY|ENTRY_ARMED,break_confirmation_low,atr_0_15,nearest_support,206.79,207.56069928078915,205.68,1.4402504682025885,0.9577927172600904,1.3794614094748747,1,NO_TRADE,,NO_ROOM_TO_TARGET_RR_BELOW_1_5,VOLUME_0_7_TO_0_9
