kind,code,count
STAGE,BLOCKED_CONTRACT,253
STAGE,NO_TRADE,191
STAGE,TRADE_CANDIDATE,5
STAGE_REACHED,SETUP_READY,191
STAGE_REACHED,ENTRY_ARMED,191
STAGE_REACHED,TRADE_CANDIDATE,5
HARD_FAIL,CONTRACT_NOT_ALLOWED_FOR_REDESIGN,253
HARD_FAIL,VOLUME_BELOW_0_7,131
HARD_FAIL,NO_ROOM_TO_TARGET_RR_BELOW_1_5,34
HARD_FAIL,CLOSE_ABOVE_RETEST_HIGH,8
HARD_FAIL,NEW_HH_BEFORE_ENTRY,6
HARD_FAIL,DOWN_CONTINUATION_NOT_CONFIRMED,5
HARD_FAIL,STOP_DISTANCE_ATR_BELOW_0_75,5
HARD_FAIL,BEARISH_FAILED_RECLAIM_NOT_CONFIRMED,5
HARD_FAIL,INVALID_TRADE_GEOMETRY,5
HARD_FAIL,DOWN_REGIME_NOT_CONFIRMED,4
HARD_FAIL,BULLISH_REVERSAL_CONFIRMED,3
HARD_FAIL,UNRESOLVED_RANGE_TRAP_CONFLICT,2
HARD_FAIL,NEXT_CANDLE_RECLAIMED_CONFIRMATION_HIGH,2
HARD_FAIL,BULLISH_REVERSAL_BEFORE_ENTRY,1
