stage_or_reason,count
DECISION_POINTS,51507
NOT_LH_LL,36368
STRUCTURAL_DOWN_CONTEXT,10468
NOT_DOWN_EMA_ALIGNMENT,4658
RETEST_DEPTH_OUTSIDE_0_35_2_0,4017
ENTRY_ARMED_PREFILTER,2921
BEARISH_TRIGGER_MISSING,2233
CORRECTION_BARS_OUTSIDE_2_8,2028
CAUSAL_ZONE_NOT_TOUCHED,1502
BEARISH_TRIGGER_PREFILTER,688
ENGINE_DOWN_CONTINUATION_NOT_CONFIRMED,474
SETUP_READY_CONFIRMED,214
ENTRY_ARMED,78
VOLUME_BELOW_0_7,71
NO_ROOM_TO_TARGET_RR_BELOW_1_5,60
REACHABLE_TARGET_MISSING,48
WEAK_VOLUME_WITHOUT_STRONG_STRUCTURE,16
COOLDOWN_SKIPPED,13
NEXT_CANDLE_RECLAIMED_CONFIRMATION_HIGH,10
CLOSE_ABOVE_RETEST_HIGH,4
BULLISH_REVERSAL_BEFORE_ENTRY,2
LATE_ENTRY_AFTER_EXHAUSTION,1
SETUP_AGE_OVER_8_CANDLES,1
TRADE_CANDIDATE,1
