candidate_id,family,symbol,direction,confirmation_time,entry_price,stop_price,target_price,target_kind,stop_distance_atr,target_distance_atr,planned_rr,volume_ratio_20,evidence,label,net_return_pct,net_r
ET27-00001,TRAP_REVERSAL,SOLUSDT,LONG,2025-01-04T04:00:00Z,216.0,215.4966579254956,216.96249999999998,FALSE_BREAKDOWN_TO_MIDLINE,0.5662227129455729,1.0827415167840286,1.9122184469631214,1.2035922350163535,"{""lower"": 215.85, ""upper"": 218.075, ""midline"": 216.96249999999998, ""width_atr"": 2.502960908929366, ""high_touches"": 3, ""low_touches"": 5, ""adx14"": 14.140038755313592}",TP_BEFORE_SL,0.20560185185184132,0.8823025582299209
ET27-00002,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-01-04T10:00:00Z,214.94,216.49096516442873,212.09,NEAREST_CONFIRMED_SUPPORT,2.185530290690475,4.016054951667523,1.8375654498015352,1.508777102473298,"{""pivot_highs"": [[267, 217.96], [278, 216.42]], ""pivot_lows"": [[258, 215.58], [275, 215.32]], ""broken_support"": 215.32}",SL_BEFORE_TP,-0.9615805175531459,-1.3326032149729201
ET27-00003,TRAP_REVERSAL,BTCUSDT,LONG,2025-01-05T01:30:00Z,98150.53,98040.99019884369,98293.455,FALSE_BREAKDOWN_TO_MIDLINE,0.7688873683596859,1.0032264616401634,1.304776880104569,1.1121228785258244,"{""lower"": 98148.69, ""upper"": 98438.22, ""midline"": 98293.455, ""width_atr"": 2.0322837672812275, ""high_touches"": 2, ""low_touches"": 2, ""adx14"": 17.826611369270445}",TP_BEFORE_SL,-0.09438183573740977,-0.8456859609212659
ET27-00004,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-01-05T08:00:00Z,3618.01,3642.5904445062956,3568.8491109874094,FIXED_2R_STRONG_MOMENTUM,3.2323784711162253,6.464756942232451,2.0,3.8409197350858504,"{""pivot_highs"": [[353, 3650.44], [363, 3641.83]], ""pivot_lows"": [[351, 3629.66], [360, 3629.0]], ""broken_support"": 3629.0}",SL_BEFORE_TP,-0.9193912815690228,-1.3532574033710456
ET27-00005,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-01-05T09:15:00Z,214.38,216.63579693748014,209.8684061250397,FIXED_2R_STRONG_MOMENTUM,3.428422391483741,6.856844782967482,2.0,1.4039055522056698,"{""pivot_highs"": [[353, 219.05], [362, 217.03]], ""pivot_lows"": [[365, 216.12], [369, 214.78]], ""broken_support"": 214.78}",SL_BEFORE_TP,-1.2922422509003366,-1.2280843596563884
ET27-00006,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-01-05T09:30:00Z,214.36,214.52760230176358,214.10859654735467,FIXED_1_5R,0.2591711296514893,0.388756694477234,1.5,1.6725155688926465,"{""breakdown_time"": ""2025-01-05T09:15:00Z"", ""broken_support"": 214.78, ""pullback_bars"": 1, ""breakdown_volume_ratio"": 1.4039055522056698}",AMBIGUOUS_INTRACANDLE,,
ET27-00007,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-01-05T09:45:00Z,97652.2,97955.90346379887,97044.79307240226,FIXED_2R_STRONG_MOMENTUM,2.3573121991139994,4.714624398227999,2.0,2.6607901608561737,"{""pivot_highs"": [[363, 98500.0], [372, 97943.02]], ""pivot_lows"": [[360, 98304.82], [369, 97777.77]], ""broken_support"": 97777.77}",SL_BEFORE_TP,-0.55100524493956,-1.7716911656799903
ET27-00008,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-01-05T13:45:00Z,212.59,214.6826068607834,208.4047862784332,FIXED_2R_STRONG_MOMENTUM,2.8821062337709002,5.7642124675418005,2.0,3.026871976137735,"{""pivot_highs"": [[362, 217.03], [381, 214.7]], ""pivot_lows"": [[369, 214.78], [384, 212.99]], ""broken_support"": 212.99}",SL_BEFORE_TP,-1.2243392731470932,-1.2438183729403387
ET27-00009,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-01-06T01:00:00Z,211.65,212.50827570803355,210.3625864379497,FIXED_1_5R,1.1667205764564994,1.750080864684749,1.5,1.7883555428701503,"{""breakdown_time"": ""2025-01-06T00:45:00Z"", ""broken_support"": 212.54, ""pullback_bars"": 1, ""breakdown_volume_ratio"": 1.2750040192947125}",SL_BEFORE_TP,-0.6455165169069432,-1.5918377920351747
ET27-00010,TRAP_REVERSAL,ETHUSDT,LONG,2025-01-06T10:00:00Z,3639.52,3631.303042334062,3659.945,FALSE_BREAKDOWN_TO_MIDLINE,0.7263255145550676,1.805436907176014,2.4857131836845747,1.3155590543220106,"{""lower"": 3639.505, ""upper"": 3680.385, ""midline"": 3659.945, ""width_atr"": 3.6135256188668294, ""high_touches"": 2, ""low_touches"": 2, ""adx14"": 17.928216876921898}",TP_BEFORE_SL,0.32120037807183865,1.4226861662510057
ET27-00011,RANGE_BOUNDARY_REJECTION,ETHUSDT,LONG,2025-01-06T10:15:00Z,3641.07,3636.453467881629,3659.945,CONFIRMED_RANGE_MIDLINE,0.4257400207068421,1.7406665186761114,4.088566810764326,0.870143058218583,"{""lower"": 3639.505, ""upper"": 3680.385, ""midline"": 3659.945, ""width_atr"": 3.7699839620386557, ""high_touches"": 2, ""low_touches"": 2, ""adx14"": 17.943710902608323}",SL_BEFORE_TP,-0.36679053460579436,-2.892885780048063
ET27-00012,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-01-07T02:45:00Z,216.59,218.87925070177678,212.01149859644644,FIXED_2R_STRONG_MOMENTUM,2.8886188392688537,5.777237678537707,2.0,1.6202309595820188,"{""pivot_highs"": [[530, 219.11], [534, 218.8]], ""pivot_lows"": [[528, 217.67], [532, 216.8]], ""broken_support"": 216.8}",TP_BEFORE_SL,1.8739024902135648,1.7729318158135543
ET27-00013,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-01-07T09:30:00Z,3658.84,3680.031618873373,3616.456762253254,FIXED_2R_STRONG_MOMENTUM,2.782444029979937,5.564888059959874,2.0,1.7156905568240908,"{""pivot_highs"": [[556, 3680.0], [563, 3679.27]], ""pivot_lows"": [[558, 3662.8], [561, 3660.33]], ""broken_support"": 3660.33}",TP_BEFORE_SL,0.9183790968379619,1.5856278818305163
ET27-00014,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-01-07T11:30:00Z,100666.66,101593.41017380902,98909.82,NEAREST_CONFIRMED_SUPPORT,4.759845407131248,9.023237374420704,1.8956996714435304,4.5487062012931725,"{""pivot_highs"": [[556, 102015.01], [563, 101995.64]], ""pivot_lows"": [[561, 101618.04], [569, 101379.45]], ""broken_support"": 101379.45}",TP_BEFORE_SL,1.505205413589759,1.63500375702357
ET27-00015,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-01-07T11:30:00Z,213.79,215.47353735448993,210.4229252910201,FIXED_2R_STRONG_MOMENTUM,2.649681227688316,5.299362455376632,2.0,2.199383792714586,"{""pivot_highs"": [[563, 216.77], [570, 215.22]], ""pivot_lows"": [[561, 215.35], [569, 214.35]], ""broken_support"": 214.35}",TP_BEFORE_SL,1.3349449034004794,1.6952274336939488
ET27-00016,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-01-07T12:15:00Z,3627.0,3644.2850199058043,3601.0724701412937,FIXED_1_5R,1.8437028340518218,2.7655542510777082,1.499999999999987,1.0755497458774779,"{""breakdown_time"": ""2025-01-07T11:30:00Z"", ""broken_support"": 3651.54, ""pullback_bars"": 3, ""breakdown_volume_ratio"": 3.5527784118441836}",SL_BEFORE_TP,-0.7165652028068472,-1.5036037012070151
ET27-00017,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-01-07T12:15:00Z,212.8,214.45817838242613,210.31273242636084,FIXED_1_5R,2.256578091096508,3.3848671366447616,1.5,1.3087120129663043,"{""breakdown_time"": ""2025-01-07T11:30:00Z"", ""broken_support"": 214.35, ""pullback_bars"": 3, ""breakdown_volume_ratio"": 2.199383792714586}",TP_BEFORE_SL,0.9288287470108894,1.191999361822125
ET27-00018,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-01-07T14:45:00Z,99979.69,100991.96430309924,97955.14139380152,FIXED_2R_STRONG_MOMENTUM,3.172845681507247,6.345691363014494,2.0,4.236840411534661,"{""pivot_highs"": [[582, 100960.06], [585, 100862.91]], ""pivot_lows"": [[569, 101379.45], [575, 100472.45]], ""broken_support"": 100472.45}",TP_BEFORE_SL,1.7849598755492087,1.7629582660891914
ET27-00019,MOMENTUM_BREAKDOWN_PULLBACK,BTCUSDT,SHORT,2025-01-07T15:00:00Z,98592.43,100193.47630916773,96190.8605362484,FIXED_1_5R,3.805498169055091,5.708247253582619,1.4999999999999956,7.260709977741087,"{""breakdown_time"": ""2025-01-07T14:45:00Z"", ""broken_support"": 100472.45, ""pullback_bars"": 1, ""breakdown_volume_ratio"": 4.236840411534661}",TP_BEFORE_SL,2.1958558397958132,1.352208002576135
