family,stage,count
MOMENTUM_BREAKDOWN_PULLBACK,COOLDOWN_SKIPPED,2416
MOMENTUM_BREAKDOWN_PULLBACK,DECISION_POINTS,50976
MOMENTUM_BREAKDOWN_PULLBACK,NO_SETUP,48258
MOMENTUM_BREAKDOWN_PULLBACK,TRADE_CANDIDATE,302
RANGE_BOUNDARY_REJECTION,COOLDOWN_SKIPPED,224
RANGE_BOUNDARY_REJECTION,DECISION_POINTS,50976
RANGE_BOUNDARY_REJECTION,NO_SETUP,50724
RANGE_BOUNDARY_REJECTION,TRADE_CANDIDATE,28
SHORT_CONTINUATION_PRACTICAL_TARGET,COOLDOWN_SKIPPED,3368
SHORT_CONTINUATION_PRACTICAL_TARGET,DECISION_POINTS,50976
SHORT_CONTINUATION_PRACTICAL_TARGET,NO_SETUP,47187
SHORT_CONTINUATION_PRACTICAL_TARGET,TRADE_CANDIDATE,421
SHORT_FAILED_REBOUND,COOLDOWN_SKIPPED,56
SHORT_FAILED_REBOUND,DECISION_POINTS,50976
SHORT_FAILED_REBOUND,NO_SETUP,50913
SHORT_FAILED_REBOUND,TRADE_CANDIDATE,7
TRAP_REVERSAL,COOLDOWN_SKIPPED,544
TRAP_REVERSAL,DECISION_POINTS,50976
TRAP_REVERSAL,NO_SETUP,50364
TRAP_REVERSAL,TRADE_CANDIDATE,68
