candidate_id,family,symbol,direction,entry_time,label,net_return_pct,net_r,bars_to_outcome
ET27-00001,TRAP_REVERSAL,SOLUSDT,LONG,2025-01-04T04:00:00Z,TP_BEFORE_SL,0.20560185185184132,0.8823025582299209,4
ET27-00002,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-01-04T10:00:00Z,SL_BEFORE_TP,-0.9615805175531459,-1.3326032149729201,7
ET27-00003,TRAP_REVERSAL,BTCUSDT,LONG,2025-01-05T01:30:00Z,TP_BEFORE_SL,-0.09438183573740977,-0.8456859609212659,10
ET27-00004,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-01-05T08:00:00Z,SL_BEFORE_TP,-0.9193912815690228,-1.3532574033710456,38
ET27-00005,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-01-05T09:15:00Z,SL_BEFORE_TP,-1.2922422509003366,-1.2280843596563884,70
ET27-00006,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-01-05T09:30:00Z,AMBIGUOUS_INTRACANDLE,,,1
ET27-00007,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-01-05T09:45:00Z,SL_BEFORE_TP,-0.55100524493956,-1.7716911656799903,12
ET27-00008,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-01-05T13:45:00Z,SL_BEFORE_TP,-1.2243392731470932,-1.2438183729403387,48
ET27-00009,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-01-06T01:00:00Z,SL_BEFORE_TP,-0.6455165169069432,-1.5918377920351747,2
ET27-00010,TRAP_REVERSAL,ETHUSDT,LONG,2025-01-06T10:00:00Z,TP_BEFORE_SL,0.32120037807183865,1.4226861662510057,9
ET27-00011,RANGE_BOUNDARY_REJECTION,ETHUSDT,LONG,2025-01-06T10:15:00Z,SL_BEFORE_TP,-0.36679053460579436,-2.892885780048063,1
ET27-00012,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-01-07T02:45:00Z,TP_BEFORE_SL,1.8739024902135648,1.7729318158135543,48
ET27-00013,SHORT_CONTINUATION_PRACTICAL_TARGET,ETHUSDT,SHORT,2025-01-07T09:30:00Z,TP_BEFORE_SL,0.9183790968379619,1.5856278818305163,20
ET27-00014,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-01-07T11:30:00Z,TP_BEFORE_SL,1.505205413589759,1.63500375702357,14
ET27-00015,SHORT_CONTINUATION_PRACTICAL_TARGET,SOLUSDT,SHORT,2025-01-07T11:30:00Z,TP_BEFORE_SL,1.3349449034004794,1.6952274336939488,14
ET27-00016,MOMENTUM_BREAKDOWN_PULLBACK,ETHUSDT,SHORT,2025-01-07T12:15:00Z,SL_BEFORE_TP,-0.7165652028068472,-1.5036037012070151,4
ET27-00017,MOMENTUM_BREAKDOWN_PULLBACK,SOLUSDT,SHORT,2025-01-07T12:15:00Z,TP_BEFORE_SL,0.9288287470108894,1.191999361822125,11
ET27-00018,SHORT_CONTINUATION_PRACTICAL_TARGET,BTCUSDT,SHORT,2025-01-07T14:45:00Z,TP_BEFORE_SL,1.7849598755492087,1.7629582660891914,3
