candidate_id,symbol,direction,setup_type,entry_time,entry_price,stop,target,rr,quality_score,outcome,net_return_pct,short_reason
ET-HED-0001,BTCUSDT,SHORT,SHORT_DOWN_CONTINUATION_RETEST,2025-12-01T13:30:00Z,85994.0,86215.63920478,84756.0,5.585654,85.1778,SL_BEFORE_TP,-0.4977379872781864,Structure and a causal level existed first; a closed rejection/continuation candle then authorized entry. Stop and target were derived from pre-entry structural anchors.
ET-HED-0002,BTCUSDT,SHORT,SHORT_DOWN_CONTINUATION_RETEST,2025-10-30T07:00:00Z,110768.01,111042.38795952,108420.0,8.557575,83.9125,SL_BEFORE_TP,-0.4877050544827907,Structure and a causal level existed first; a closed rejection/continuation candle then authorized entry. Stop and target were derived from pre-entry structural anchors.
ET-HED-0003,SOLUSDT,LONG,LONG_UP_CONTINUATION_RETEST,2025-11-15T18:45:00Z,142.72,142.23907861,144.69,4.096304,83.5967,SL_BEFORE_TP,-0.5769684627242095,Structure and a causal level existed first; a closed rejection/continuation candle then authorized entry. Stop and target were derived from pre-entry structural anchors.
ET-HED-0004,SOLUSDT,SHORT,SHORT_DOWN_CONTINUATION_RETEST,2025-07-12T00:15:00Z,162.73,163.52025518,159.54,4.036671,83.3357,SL_BEFORE_TP,-0.725623535918394,Structure and a causal level existed first; a closed rejection/continuation candle then authorized entry. Stop and target were derived from pre-entry structural anchors.
ET-HED-0005,BTCUSDT,SHORT,SHORT_DOWN_CONTINUATION_RETEST,2025-07-30T21:15:00Z,117103.56,117379.51284468,115796.23,4.737512,83.3101,SL_BEFORE_TP,-0.4756485530243452,Structure and a causal level existed first; a closed rejection/continuation candle then authorized entry. Stop and target were derived from pre-entry structural anchors.
ET-HED-0006,BTCUSDT,SHORT,SHORT_DOWN_CONTINUATION_RETEST,2025-10-10T23:15:00Z,113050.99,114399.33536536,102000.0,8.195964,83.194,SL_BEFORE_TP,-1.4326877998680072,Structure and a causal level existed first; a closed rejection/continuation candle then authorized entry. Stop and target were derived from pre-entry structural anchors.
ET-HED-0007,SOLUSDT,SHORT,SHORT_DOWN_CONTINUATION_RETEST,2025-10-16T11:00:00Z,195.75,196.91826403,186.37,8.029007,83.1595,SL_BEFORE_TP,-0.8368143192847963,Structure and a causal level existed first; a closed rejection/continuation candle then authorized entry. Stop and target were derived from pre-entry structural anchors.
ET-HED-0008,SOLUSDT,SHORT,SHORT_DOWN_CONTINUATION_RETEST,2025-10-22T02:30:00Z,186.99,187.64027368,184.14,4.38277,83.1316,TP_BEFORE_SL,1.2841456762393832,Structure and a causal level existed first; a closed rejection/continuation candle then authorized entry. Stop and target were derived from pre-entry structural anchors.
ET-HED-0009,BTCUSDT,SHORT,SHORT_DOWN_CONTINUATION_RETEST,2025-10-14T11:45:00Z,111332.77,111697.10578008,110012.24,3.624486,83.0534,TP_BEFORE_SL,0.946110791997719,Structure and a causal level existed first; a closed rejection/continuation candle then authorized entry. Stop and target were derived from pre-entry structural anchors.
ET-HED-0010,BTCUSDT,LONG,LONG_UP_CONTINUATION_RETEST,2025-08-31T05:00:00Z,108816.32,108644.75515186,109378.93,3.279285,83.042,SL_BEFORE_TP,-0.3976646298459763,Structure and a causal level existed first; a closed rejection/continuation candle then authorized entry. Stop and target were derived from pre-entry structural anchors.
