window_id,symbol,reference_label,old_regime,new_regime,confidence,match_status,confirmed,pending,invalidated,cancelled,conflicted,selected_hypothesis
btc_15m_expected_up_001,BTCUSDT,EXPECTED_UP,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,0,0,0,0,
btc_15m_expected_down_001,BTCUSDT,EXPECTED_DOWN,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,1,0,0,1,
btc_15m_expected_flat_001,BTCUSDT,EXPECTED_FLAT,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,0,0,0,0,
btc_15m_expected_unknown_or_mixed_001,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UNKNOWN,0.25,MATCH,0,1,0,0,0,
btc_15m_recent_baseline_001,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UNKNOWN,0.25,MATCH,0,1,0,0,1,
eth_15m_expected_up_001,ETHUSDT,EXPECTED_UP,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,0,0,0,0,
eth_15m_expected_down_001,ETHUSDT,EXPECTED_DOWN,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,0,0,0,0,
eth_15m_expected_flat_001,ETHUSDT,EXPECTED_FLAT,UNKNOWN,FLAT,0.4370967741935484,MATCH,1,0,0,0,0,CONFIRMED_RANGE
eth_15m_expected_unknown_or_mixed_001,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UNKNOWN,0.25,MATCH,0,0,0,0,0,
eth_15m_recent_baseline_001,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UNKNOWN,0.25,MATCH,0,1,0,0,1,
sol_15m_expected_up_001,SOLUSDT,EXPECTED_UP,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,1,0,0,1,
sol_15m_expected_down_001,SOLUSDT,EXPECTED_DOWN,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,1,0,0,0,
sol_15m_expected_flat_001,SOLUSDT,EXPECTED_FLAT,UNKNOWN,FLAT,0.6555555555555556,MATCH,1,0,0,0,0,CONFIRMED_RANGE
sol_15m_expected_unknown_or_mixed_001,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UNKNOWN,0.25,MATCH,0,1,0,0,1,
sol_15m_recent_baseline_001,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UNKNOWN,0.25,MATCH,0,1,0,0,1,
btcusdt_15m_up_001,BTCUSDT,EXPECTED_UP,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,0,0,0,0,
btcusdt_15m_down_001,BTCUSDT,EXPECTED_DOWN,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,1,0,0,1,
btcusdt_15m_flat_001,BTCUSDT,EXPECTED_FLAT,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,0,0,0,0,
btcusdt_15m_mixed_001,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UNKNOWN,0.25,MATCH,0,1,0,0,0,
btcusdt_15m_high_volatility_chop_001,BTCUSDT,HIGH_VOLATILITY_CHOP,UNKNOWN,UNKNOWN,0.25,ACCEPTABLE_UNKNOWN,0,1,0,0,0,
btcusdt_15m_up_002,BTCUSDT,EXPECTED_UP,UNKNOWN,FLAT,0.39137931034482765,NEEDS_REVIEW,1,0,0,0,0,CONFIRMED_RANGE
btcusdt_15m_down_002,BTCUSDT,EXPECTED_DOWN,UNKNOWN,FLAT,0.4614583333333334,NEEDS_REVIEW,2,0,0,0,0,CONFIRMED_RANGE
btcusdt_15m_flat_002,BTCUSDT,EXPECTED_FLAT,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,1,0,0,0,
btcusdt_15m_mixed_002,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UNKNOWN,0.25,MATCH,0,0,0,0,0,
btcusdt_15m_up_003,BTCUSDT,EXPECTED_UP,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,1,0,0,1,
btcusdt_15m_down_003,BTCUSDT,EXPECTED_DOWN,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,1,0,0,1,
btcusdt_15m_flat_003,BTCUSDT,EXPECTED_FLAT,UNKNOWN,FLAT,0.700709219858156,MATCH,1,0,0,0,0,CONFIRMED_RANGE
btcusdt_15m_mixed_003,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UP,0.6666666666666666,NEEDS_REVIEW,1,0,0,0,0,BULLISH_REVERSAL
btcusdt_15m_up_004,BTCUSDT,EXPECTED_UP,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,1,0,0,1,
btcusdt_15m_recent_baseline_001,BTCUSDT,RECENT_BASELINE,UNKNOWN,UNKNOWN,0.25,ACCEPTABLE_UNKNOWN,0,1,0,0,1,
solusdt_15m_up_001,SOLUSDT,EXPECTED_UP,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,1,0,0,1,
solusdt_15m_down_001,SOLUSDT,EXPECTED_DOWN,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,1,0,0,0,
solusdt_15m_flat_001,SOLUSDT,EXPECTED_FLAT,UNKNOWN,FLAT,0.6555555555555556,MATCH,1,0,0,0,0,CONFIRMED_RANGE
solusdt_15m_mixed_001,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UNKNOWN,0.25,MATCH,0,1,0,0,1,
solusdt_15m_high_volatility_chop_001,SOLUSDT,HIGH_VOLATILITY_CHOP,UNKNOWN,UNKNOWN,0.25,ACCEPTABLE_UNKNOWN,0,1,0,0,1,
solusdt_15m_up_002,SOLUSDT,EXPECTED_UP,UNKNOWN,UP,0.6666666666666666,MATCH,1,0,0,0,0,BULLISH_REVERSAL
solusdt_15m_down_002,SOLUSDT,EXPECTED_DOWN,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,0,0,0,0,
solusdt_15m_flat_002,SOLUSDT,EXPECTED_FLAT,UNKNOWN,FLAT,0.7044715447154472,MATCH,1,0,0,0,0,CONFIRMED_RANGE
solusdt_15m_mixed_002,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UNKNOWN,0.25,MATCH,0,0,0,0,0,
solusdt_15m_up_003,SOLUSDT,EXPECTED_UP,UNKNOWN,UP,0.6666666666666666,MATCH,1,0,0,0,0,BULLISH_REVERSAL
solusdt_15m_down_003,SOLUSDT,EXPECTED_DOWN,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,1,0,0,1,
solusdt_15m_flat_003,SOLUSDT,EXPECTED_FLAT,UNKNOWN,FLAT,0.6262411347517731,MATCH,1,0,0,0,0,CONFIRMED_RANGE
solusdt_15m_mixed_003,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UNKNOWN,0.25,MATCH,0,1,0,0,0,
solusdt_15m_up_004,SOLUSDT,EXPECTED_UP,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,1,0,0,1,
