window_id,aliases,fingerprint,reference_label,label_quality,regime,match_status,review_groups,unknown_cause,trend_structure,range_detected,breakout_status,breakout_direction,returned_to_range,hypotheses,missing_confirmations,trap_range_score_delta,verdict,rationale
btcusdt_15m_down_001,btc_15m_expected_down_001;btcusdt_15m_down_001,BTCUSDT|15m|2026-02-05T00:00:00+00:00|2026-02-05T23:45:00+00:00,EXPECTED_DOWN,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_DOWN_UNKNOWN,PENDING_PLUS_CONFLICTED_NO_CONFIRMED,SIDEWAYS_STRUCTURE,True,CONFIRMED,DOWNWARD,False,DOWN_CONTINUATION:PENDING:0.200;CONFIRMED_RANGE:CONFLICTED:0.577,ALIGNED_STRUCTURE_OR_CONFIRMED_CONTINUATION_EVENT;CONFIRMED_BREAKOUT_PREVENTS_RANGE_CONFIRMATION,,EXPECTED_CAUTION,The available scenario remains pending or conflicted and therefore correctly cannot select a regime under the current contract.
btcusdt_15m_down_002,btcusdt_15m_down_002,BTCUSDT|15m|2025-03-03T00:00:00+00:00|2025-03-03T23:45:00+00:00,EXPECTED_DOWN,DETERMINISTIC_OHLC_PROXY,FLAT,NEEDS_REVIEW,NEEDS_REVIEW;TRAP_VS_RANGE,,SIDEWAYS_STRUCTURE,True,FALSE_BREAKOUT,UPWARD,True,CONFIRMED_RANGE:CONFIRMED:0.711;BULL_TRAP:CONFIRMED:0.700,,0.01145833333333346,PRIORITY_ISSUE,Confirmed trap and confirmed range differ by less than the dominance margin; post-return continuation is not represented.
btcusdt_15m_down_003,btcusdt_15m_down_003,BTCUSDT|15m|2026-01-31T00:00:00+00:00|2026-01-31T23:45:00+00:00,EXPECTED_DOWN,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_DOWN_UNKNOWN,PENDING_PLUS_CONFLICTED_NO_CONFIRMED,SIDEWAYS_STRUCTURE,True,CONFIRMED,DOWNWARD,False,DOWN_CONTINUATION:PENDING:0.250;CONFIRMED_RANGE:CONFLICTED:0.626,ALIGNED_STRUCTURE_OR_CONFIRMED_CONTINUATION_EVENT;CONFIRMED_BREAKOUT_PREVENTS_RANGE_CONFIRMATION,,EXPECTED_CAUTION,The available scenario remains pending or conflicted and therefore correctly cannot select a regime under the current contract.
btcusdt_15m_flat_001,btc_15m_expected_flat_001;btcusdt_15m_flat_001,BTCUSDT|15m|2025-09-27T00:00:00+00:00|2025-09-27T23:45:00+00:00,EXPECTED_FLAT,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_FLAT_UNKNOWN,NO_HYPOTHESES,SIDEWAYS_STRUCTURE,False,NO_BREAKOUT,NONE,False,,NO_CAUSAL_SCENARIO_FORMED,,INSUFFICIENT_CONTEXT,"The 96-candle input formed no continuation, reversal, range, or trap hypothesis; the label alone cannot authorize a regime."
btcusdt_15m_flat_002,btcusdt_15m_flat_002,BTCUSDT|15m|2025-06-10T00:00:00+00:00|2025-06-10T23:45:00+00:00,EXPECTED_FLAT,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_FLAT_UNKNOWN,ONLY_PENDING_NO_CONFIRMED,SIDEWAYS_STRUCTURE,True,ATTEMPT,UPWARD,False,CONFIRMED_RANGE:PENDING:0.622,RANGE_BREAKOUT_ATTEMPT_RESOLUTION,,EXPECTED_CAUTION,The available scenario remains pending or conflicted and therefore correctly cannot select a regime under the current contract.
btcusdt_15m_mixed_003,btcusdt_15m_mixed_003,BTCUSDT|15m|2025-02-28T00:00:00+00:00|2025-02-28T23:45:00+00:00,EXPECTED_UNKNOWN_OR_MIXED,DETERMINISTIC_OHLC_PROXY,UP,NEEDS_REVIEW,NEEDS_REVIEW,,SIDEWAYS_STRUCTURE,False,NO_BREAKOUT,NONE,False,BULLISH_REVERSAL:CONFIRMED:0.600,,,LABEL_ISSUE,"A confirmed causal hypothesis supports the engine result while the reference is descriptive or deterministic, not ground truth."
btcusdt_15m_up_001,btc_15m_expected_up_001;btcusdt_15m_up_001,BTCUSDT|15m|2026-02-06T00:00:00+00:00|2026-02-06T23:45:00+00:00,EXPECTED_UP,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_UP_UNKNOWN,NO_HYPOTHESES,SIDEWAYS_STRUCTURE,False,NO_BREAKOUT,NONE,False,,NO_CAUSAL_SCENARIO_FORMED,,INSUFFICIENT_CONTEXT,"The 96-candle input formed no continuation, reversal, range, or trap hypothesis; the label alone cannot authorize a regime."
btcusdt_15m_up_002,btcusdt_15m_up_002,BTCUSDT|15m|2025-03-02T00:00:00+00:00|2025-03-02T23:45:00+00:00,EXPECTED_UP,DETERMINISTIC_OHLC_PROXY,FLAT,NEEDS_REVIEW,NEEDS_REVIEW,,SIDEWAYS_STRUCTURE,True,NO_FOLLOW_THROUGH,DOWNWARD,False,CONFIRMED_RANGE:CONFIRMED:0.641,,,LABEL_ISSUE,"A confirmed causal hypothesis supports the engine result while the reference is descriptive or deterministic, not ground truth."
btcusdt_15m_up_003,btcusdt_15m_up_003,BTCUSDT|15m|2025-04-09T00:00:00+00:00|2025-04-09T23:45:00+00:00,EXPECTED_UP,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_UP_UNKNOWN,PENDING_PLUS_CONFLICTED_NO_CONFIRMED,SIDEWAYS_STRUCTURE,True,CONFIRMED,UPWARD,False,UP_CONTINUATION:PENDING:0.350;CONFIRMED_RANGE:CONFLICTED:0.558,ALIGNED_STRUCTURE_OR_CONFIRMED_CONTINUATION_EVENT;CONFIRMED_BREAKOUT_PREVENTS_RANGE_CONFIRMATION,,EXPECTED_CAUTION,The available scenario remains pending or conflicted and therefore correctly cannot select a regime under the current contract.
btcusdt_15m_up_004,btcusdt_15m_up_004,BTCUSDT|15m|2025-04-22T00:00:00+00:00|2025-04-22T23:45:00+00:00,EXPECTED_UP,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_UP_UNKNOWN,PENDING_PLUS_CONFLICTED_NO_CONFIRMED,SIDEWAYS_STRUCTURE,True,CONFIRMED,UPWARD,False,UP_CONTINUATION:PENDING:0.250;CONFIRMED_RANGE:CONFLICTED:0.592,ALIGNED_STRUCTURE_OR_CONFIRMED_CONTINUATION_EVENT;CONFIRMED_BREAKOUT_PREVENTS_RANGE_CONFIRMATION,,EXPECTED_CAUTION,The available scenario remains pending or conflicted and therefore correctly cannot select a regime under the current contract.
