window_id,source_stage,symbol,reference_label,market_regime,confidence,nison_trace_available,nison_detailed_events_available,altunina_trace_available,altunina_swing_points_available,schwager_trace_available,schwager_range_bounds_available,matrix_trace_available,composer_raw_scores_available,composer_clamped_scores_available,composer_fallback_reason_available,human_explanation_available,missing_trace_field_count,behavior_lock_ok,notes
btc_15m_expected_up_001,ENGINE-TREND-15,BTCUSDT,EXPECTED_UP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btc_15m_expected_down_001,ENGINE-TREND-15,BTCUSDT,EXPECTED_DOWN,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btc_15m_expected_flat_001,ENGINE-TREND-15,BTCUSDT,EXPECTED_FLAT,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btc_15m_expected_unknown_or_mixed_001,ENGINE-TREND-15,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
btc_15m_recent_baseline_001,ENGINE-TREND-15,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
eth_15m_expected_up_001,ENGINE-TREND-15,ETHUSDT,EXPECTED_UP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
eth_15m_expected_down_001,ENGINE-TREND-15,ETHUSDT,EXPECTED_DOWN,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
eth_15m_expected_flat_001,ENGINE-TREND-15,ETHUSDT,EXPECTED_FLAT,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
eth_15m_expected_unknown_or_mixed_001,ENGINE-TREND-15,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
eth_15m_recent_baseline_001,ENGINE-TREND-15,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
sol_15m_expected_up_001,ENGINE-TREND-15,SOLUSDT,EXPECTED_UP,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
sol_15m_expected_down_001,ENGINE-TREND-15,SOLUSDT,EXPECTED_DOWN,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
sol_15m_expected_flat_001,ENGINE-TREND-15,SOLUSDT,EXPECTED_FLAT,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
sol_15m_expected_unknown_or_mixed_001,ENGINE-TREND-15,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,0.3,True,True,True,True,True,False,True,False,True,True,True,4,True,Raw/pre-clamp composer scores are not exposed.
