window_id,symbol,reference_label,old_regime,new_regime,confidence,match_status,confirmed,pending,invalidated,cancelled,conflicted,selected_hypothesis
btc_15m_expected_up_001,BTCUSDT,EXPECTED_UP,UNKNOWN,UP,0.7086685438685385,MATCH,1,0,0,0,1,UP_CONTINUATION
btc_15m_expected_down_001,BTCUSDT,EXPECTED_DOWN,UNKNOWN,FLAT,0.49696969696969695,NEEDS_REVIEW,2,0,0,0,0,CONFIRMED_RANGE
btc_15m_expected_flat_001,BTCUSDT,EXPECTED_FLAT,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,0,0,0,0,
btc_15m_expected_unknown_or_mixed_001,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,DOWN,0.050000000000000044,NEEDS_REVIEW,1,0,0,0,1,DOWN_CONTINUATION
btc_15m_recent_baseline_001,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UNKNOWN,0.25,MATCH,0,0,0,0,1,
eth_15m_expected_up_001,ETHUSDT,EXPECTED_UP,UNKNOWN,UP,0.9011017608701286,MATCH,1,1,0,0,0,UP_CONTINUATION
eth_15m_expected_down_001,ETHUSDT,EXPECTED_DOWN,UNKNOWN,UNKNOWN,0.0,QUESTIONABLE_UNKNOWN,1,0,0,0,1,
eth_15m_expected_flat_001,ETHUSDT,EXPECTED_FLAT,UNKNOWN,FLAT,0.4254901960784314,MATCH,1,0,0,0,0,CONFIRMED_RANGE
eth_15m_expected_unknown_or_mixed_001,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UP,0.8480426724888609,NEEDS_REVIEW,1,0,0,0,1,UP_CONTINUATION
eth_15m_recent_baseline_001,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UNKNOWN,0.25,MATCH,0,0,0,0,1,
sol_15m_expected_up_001,SOLUSDT,EXPECTED_UP,UNKNOWN,UP,0.050000000000000044,MATCH,1,0,0,0,1,UP_CONTINUATION
sol_15m_expected_down_001,SOLUSDT,EXPECTED_DOWN,UNKNOWN,DOWN,0.9126369399914006,MATCH,1,0,0,0,1,DOWN_CONTINUATION
sol_15m_expected_flat_001,SOLUSDT,EXPECTED_FLAT,UNKNOWN,UP,0.2542242573755541,MISMATCH,1,1,0,0,0,UP_CONTINUATION
sol_15m_expected_unknown_or_mixed_001,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,DOWN,0.3666666666666667,NEEDS_REVIEW,1,0,0,0,0,DOWN_CONTINUATION
sol_15m_recent_baseline_001,SOLUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UP,0.7997951421353985,NEEDS_REVIEW,1,0,0,0,1,UP_CONTINUATION
btcusdt_15m_up_001,BTCUSDT,EXPECTED_UP,UNKNOWN,UP,0.7086685438685385,MATCH,1,0,0,0,1,UP_CONTINUATION
btcusdt_15m_down_001,BTCUSDT,EXPECTED_DOWN,UNKNOWN,FLAT,0.49696969696969695,NEEDS_REVIEW,2,0,0,0,0,CONFIRMED_RANGE
btcusdt_15m_flat_001,BTCUSDT,EXPECTED_FLAT,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,0,0,0,0,
btcusdt_15m_mixed_001,BTCUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,DOWN,0.050000000000000044,NEEDS_REVIEW,1,0,0,0,1,DOWN_CONTINUATION
btcusdt_15m_high_volatility_chop_001,BTCUSDT,HIGH_VOLATILITY_CHOP,UNKNOWN,UP,0.3666666666666667,NEEDS_REVIEW,1,0,0,0,0,UP_CONTINUATION
